From,Entry,Entry Name,Length,Organism (ID),Taxonomic lineage,Taxonomic lineage (Ids)
P38036,P38036,CAS3_ECOLI,888,83333,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)Gammaproteobacteria (class)Enterobacterales (order)Enterobacteriaceae (family)Escherichia (genus)Escherichia coli (species),|131567|2|1224|1236|91347|543|561|562|
A0A4S4N3R2,A0A4S4N3R2,A0A4S4N3R2_9APHY,1586,2447956,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Basidiomycota (phylum)Agaricomycotina (subphylum)Agaricomycetes (class)Agaricomycetes incertae sedis (norank)Polyporales (order)Steccherinaceae (family)Antrodiella (genus),|131567|2759|33154|4751|451864|5204|5302|155619|355688|5303|81059|81041|
A0A2E3UVX1,A0A2E3UVX1,A0A2E3UVX1_9BACT,749,2026715,cellular organisms (norank)Bacteria (superkingdom)Bdellovibrionota (phylum)Bdellovibrionia (class)Bdellovibrionales (order)Pseudobdellovibrionaceae (family)unclassified Pseudobdellovibrionaceae (norank),|131567|2|3018035|3031418|213481|213483|1961502|
A0A449BEX1,A0A449BEX1,A0A449BEX1_HAPAX,868,29552,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Mycoplasmatota (phylum)Mollicutes (class)Acholeplasmatales (order)Acholeplasmataceae (family)Haploplasma (genus),|131567|2|1783272|544448|31969|186329|2146|2903106|
A0A849RQI0,A0A849RQI0,A0A849RQI0_9BACT,869,70125,cellular organisms (norank)Bacteria (superkingdom)Nitrospirota (phylum)Nitrospiria (class)Nitrospirales (order)Nitrospiraceae (family)Nitrospira (genus)unclassified Nitrospira (norank),|131567|2|40117|203693|189778|189779|1234|2652172|
A0A6L8JQU1,A0A6L8JQU1,A0A6L8JQU1_VIRHA,772,1482,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Bacillota (phylum)Bacilli (class)Bacillales (order)Bacillaceae (family)Virgibacillus (genus),|131567|2|1783272|1239|91061|1385|186817|84406|
A0A1H5X2D2,A0A1H5X2D2,A0A1H5X2D2_9EURY,894,699433,cellular organisms (norank)Archaea (superkingdom)Euryarchaeota (phylum)Stenosarchaea group (norank)Halobacteria (class)Haloferacales (order)Haloferacaceae (family)Halobellus (genus),|131567|2157|28890|2290931|183963|1644055|1644056|1073986|
A0A7V2TTY5,A0A7V2TTY5,A0A7V2TTY5_UNCHY,891,2030809,cellular organisms (norank)Bacteria (superkingdom)FCB group (norank)Candidatus Hydrogenedentes (phylum)unclassified Candidatus Hydrogenedentes (norank),|131567|2|1783270|142187|1046981|
A0A7S0YRM2,A0A7S0YRM2,A0A7S0YRM2_9CHLO,904,51329,cellular organisms (norank)Eukaryota (superkingdom)Viridiplantae (kingdom)Chlorophyta (phylum)core chlorophytes (norank)Chlorophyceae (class)CS clade (norank)Chlamydomonadales (order)Chlamydomonadaceae (family)Polytomella (genus),|131567|2759|33090|3041|2692248|3166|2812636|3042|3051|3049|
A0A653H9T3,A0A653H9T3,A0A653H9T3_9APIC,554,2600580,cellular organisms (norank)Eukaryota (superkingdom)Sar (norank)Alveolata (norank)Apicomplexa (phylum)Aconoidasida (class)Haemosporida (order)Plasmodiidae (family)Hepatocystis (genus)unclassified Hepatocystis (norank),|131567|2759|2698737|33630|5794|422676|5819|1639119|77566|2632946|
A0A1E9BZZ6,A0A1E9BZZ6,A0A1E9BZZ6_9BACE,1011,1739298,cellular organisms (norank)Bacteria (superkingdom)FCB group (norank)Bacteroidota/Chlorobiota group (norank)Bacteroidota (phylum)Bacteroidia (class)Bacteroidales (order)Bacteroidaceae (family)Bacteroides (genus)unclassified Bacteroides (norank),|131567|2|1783270|68336|976|200643|171549|815|816|2646097|
S2EP01,S2EP01,S2EP01_9ARCH,1143,859192,cellular organisms (norank)Archaea (superkingdom)TACK group (norank)Nitrososphaerota (phylum)Nitrososphaeria (class)Nitrosopumilales (order)Nitrosopumilaceae (family)Nitrosarchaeum (genus)Candidatus Nitrosarchaeum limnium (species),|131567|2157|1783275|651137|1643678|31932|338190|1007082|1007084|
A0A359LJ18,A0A359LJ18,A0A359LJ18_UNCAT,992,2053509,cellular organisms (norank)Bacteria (superkingdom)Atribacterota (phylum)unclassified Atribacterota (norank),|131567|2|67818|1047049|
X6M6W7,X6M6W7,X6M6W7_RETFI,831,46433,cellular organisms (norank)Eukaryota (superkingdom)Sar (norank)Rhizaria (norank)Retaria (norank)Foraminifera (phylum)Monothalamids (norank)Reticulomyxidae (family)Reticulomyxa (genus),|131567|2759|2698737|543769|2662056|29178|1505960|188961|46432|
F2XG53,F2XG53,CAS3_STRTR,926,1308,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Bacillota (phylum)Bacilli (class)Lactobacillales (order)Streptococcaceae (family)Streptococcus (genus),|131567|2|1783272|1239|91061|186826|1300|1301|
K5W651,K5W651,K5W651_PHACS,1531,650164,cellular organisms (norank)Eukaryota (superkingdom)Opisthokonta (norank)Fungi (kingdom)Dikarya (subkingdom)Basidiomycota (phylum)Agaricomycotina (subphylum)Agaricomycetes (class)Agaricomycetes incertae sedis (norank)Polyporales (order)Phanerochaetaceae (family)Phanerochaete (genus)Phanerochaete carnosa (species),|131567|2759|33154|4751|451864|5204|5302|155619|355688|5303|396331|5305|231932|
A0A352B4W4,A0A352B4W4,A0A352B4W4_UNCPS,434,1977087,cellular organisms (norank)Bacteria (superkingdom)Pseudomonadota (phylum)unclassified Pseudomonadota (norank),|131567|2|1224|81684|
A0A5R9MLR0,A0A5R9MLR0,A0A5R9MLR0_9FIRM,,,,
A0A350KB08,A0A350KB08,A0A350KB08_9PLAN,,,,
R5KLI0,R5KLI0,R5KLI0_9CLOT,788,1262831,cellular organisms (norank)Bacteria (superkingdom)Terrabacteria group (norank)Bacillota (phylum)Clostridia (class)Eubacteriales (order)Clostridiaceae (family)Clostridium (genus)unclassified Clostridium (norank),|131567|2|1783272|1239|186801|186802|31979|1485|2614128|
D0KN27,D0KN27,HELS_SACS9,715,555311,cellular organisms (norank)Archaea (superkingdom)TACK group (norank)Thermoproteota (phylum)Thermoprotei (class)Sulfolobales (order)Sulfolobaceae (family)Saccharolobus (genus)Saccharolobus solfataricus (species),|131567|2157|1783275|28889|183924|2281|118883|2100760|2287|
A0A847GA14,A0A847GA14,A0A847GA14_UNCHD,855,2654184,cellular organisms (norank)Bacteria (superkingdom)FCB group (norank)Candidatus Hydrogenedentes (phylum)Candidatus Hydrogenedens (genus)unclassified Candidatus Hydrogenedens (norank),|131567|2|1783270|142187|1462415|2654183|
